
="",="(1)",="(2)",="(3)",="(4)"
="",="manual",="social",="routine",="abstract"

="HG graduates",="-0.018**",="0.015***",="0.009",="0.025***"
="",="(0.008)",="(0.005)",="(0.007)",="(0.006)"

="College+",="-0.079***",="0.043***",="0.033***",="0.058***"
="",="(0.010)",="(0.006)",="(0.007)",="(0.006)"

="Baseline use",="0.480***",="0.644***",="0.652***",="0.523***"
="",="(0.004)",="(0.003)",="(0.004)",="(0.003)"

="\midrule Number of occupations",="62.000",="62.000",="62.000",="62.000"
="Observations",="11,329",="11,329",="11,329",="11,329"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
