
="",="(1)",="(2)",="(3)",="(4)"
="",="manual",="social",="routine",="abstract_a2"

="HG graduates",="-0.016**",="0.018***",="0.015**",="0.025***"
="",="(0.007)",="(0.004)",="(0.006)",="(0.006)"

="College+",="-0.078***",="0.041***",="0.036***",="0.070***"
="",="(0.009)",="(0.005)",="(0.006)",="(0.006)"

="Baseline use",="0.490***",="0.654***",="0.650***",="0.478***"
="",="(0.004)",="(0.003)",="(0.003)",="(0.003)"

="\midrule Number of occupations",="156.000",="156.000",="156.000",="156.000"
="Observations",="16720.000",="16720.000",="16720.000",="16720.000"

="Standard errors in parentheses"
="* p<.10, ** p<.05, *** p<.01"
